         0 <= x <=         30 ; y =    80.0000 +    -0.5000 x ; interpolation
     10740 <= x <=      10770 ; y =   782.0000 +    -0.0667 x ; interpolation
     10770 <= x <=      10800 ; y = -5321.0000 +     0.5000 x ; interpolation
     10800 <= x <=      10830 ; y = -1361.0000 +     0.1333 x ; interpolation
     10830 <= x <=      10860 ; y =  6220.0000 +    -0.5667 x ; interpolation
     10860 <= x <=      10890 ; y =  1152.0000 +    -0.1000 x ; interpolation
     10890 <= x <=      10920 ; y =  -300.0000 +     0.0333 x ; interpolation
     10920 <= x <=      10950 ; y = -3576.0000 +     0.3333 x ; interpolation
     10950 <= x <=      10980 ; y =  3359.0000 +    -0.3000 x ; interpolation
     10980 <= x <=      11010 ; y = -6523.0000 +     0.6000 x ; interpolation
     11010 <= x <=      11040 ; y =  1184.0000 +    -0.1000 x ; interpolation
     11040 <= x <=      11070 ; y =  6336.0000 +    -0.5667 x ; interpolation
     11070 <= x <=      11100 ; y = -1044.0000 +     0.1000 x ; interpolation
     11100 <= x <=      11130 ; y = -1044.0000 +     0.1000 x ; interpolation
     11130 <= x <=      11160 ; y = -4012.0000 +     0.3667 x ; interpolation
     11160 <= x <=      11190 ; y =    80.0000 +     0.0000 x ; interpolation
     11190 <= x <=      11220 ; y =  -293.0000 +     0.0333 x ; interpolation
     11220 <= x <=      11250 ; y =  6813.0000 +    -0.6000 x ; interpolation
     11250 <= x <=      11280 ; y = -6687.0000 +     0.6000 x ; interpolation
     11280 <= x <=      11310 ; y =  6473.0000 +    -0.5667 x ; interpolation
     11310 <= x <=      11340 ; y =   441.0000 +    -0.0333 x ; interpolation
     11340 <= x <=      11370 ; y =  -315.0000 +     0.0333 x ; interpolation
     11370 <= x <=      11400 ; y = -6379.0000 +     0.5667 x ; interpolation
     11400 <= x <=      11430 ; y =  -679.0000 +     0.0667 x ; interpolation
     11430 <= x <=      11460 ; y =  1607.0000 +    -0.1333 x ; interpolation
     11460 <= x <=      11490 ; y =  5427.0000 +    -0.4667 x ; interpolation
     11490 <= x <=      11520 ; y = -5297.0000 +     0.4667 x ; interpolation
     11520 <= x <=      11550 ; y = -1457.0000 +     0.1333 x ; interpolation
     11550 <= x <=      11580 ; y =  4703.0000 +    -0.4000 x ; interpolation
     11580 <= x <=      11610 ; y = -4175.0000 +     0.3667 x ; interpolation
     11610 <= x <=      11640 ; y =   856.0000 +    -0.0667 x ; interpolation
     11640 <= x <=      11670 ; y =   468.0000 +    -0.0333 x ; interpolation
     11670 <= x <=      11700 ; y =    79.0000 +     0.0000 x ; interpolation
     11700 <= x <=      11730 ; y =    79.0000 +     0.0000 x ; interpolation
     11730 <= x <=      11760 ; y =  3989.0000 +    -0.3333 x ; interpolation
     11760 <= x <=      11790 ; y = -5419.0000 +     0.4667 x ; interpolation
     11790 <= x <=      11820 ; y =  1655.0000 +    -0.1333 x ; interpolation
     11820 <= x <=      11850 ; y =  6383.0000 +    -0.5333 x ; interpolation
     11850 <= x <=      11880 ; y = -1517.0000 +     0.1333 x ; interpolation
     11880 <= x <=      11910 ; y = -5477.0000 +     0.4667 x ; interpolation
     11910 <= x <=      11940 ; y =  5639.0000 +    -0.4667 x ; interpolation
     11940 <= x <=      11970 ; y =  1261.0000 +    -0.1000 x ; interpolation
     11970 <= x <=      12000 ; y =  -734.0000 +     0.0667 x ; interpolation
     12000 <= x <=      12030 ; y = -5934.0000 +     0.5000 x ; interpolation
     12030 <= x <=      12060 ; y =   883.0000 +    -0.0667 x ; interpolation
     12060 <= x <=      12090 ; y =  2089.0000 +    -0.1667 x ; interpolation
     12090 <= x <=      12120 ; y = -1941.0000 +     0.1667 x ; interpolation
     12120 <= x <=      12150 ; y =  6543.0000 +    -0.5333 x ; interpolation
     12150 <= x <=      12180 ; y = -1962.0000 +     0.1667 x ; interpolation
     12180 <= x <=      12210 ; y = -6834.0000 +     0.5667 x ; interpolation
     12210 <= x <=      12240 ; y =  7004.0000 +    -0.5667 x ; interpolation
     12240 <= x <=      12270 ; y = -6460.0000 +     0.5333 x ; interpolation
     12270 <= x <=      12300 ; y =  6628.0000 +    -0.5333 x ; interpolation
     12300 <= x <=      12330 ; y = -4032.0000 +     0.3333 x ; interpolation
     12330 <= x <=      12360 ; y =  4188.0000 +    -0.3333 x ; interpolation
     12360 <= x <=      12390 ; y = -6112.0000 +     0.5000 x ; interpolation
     12390 <= x <=      12420 ; y =  6691.0000 +    -0.5333 x ; interpolation
     12420 <= x <=      12450 ; y =  1309.0000 +    -0.1000 x ; interpolation
     12450 <= x <=      12480 ; y = -8651.0000 +     0.7000 x ; interpolation
     12480 <= x <=      12510 ; y =  8405.0000 +    -0.6667 x ; interpolation
     12510 <= x <=      12540 ; y = -4939.0000 +     0.4000 x ; interpolation
     12540 <= x <=      12570 ; y =  5929.0000 +    -0.4667 x ; interpolation
     12570 <= x <=      12600 ; y = -1194.0000 +     0.1000 x ; interpolation
     12600 <= x <=      12630 ; y = -6234.0000 +     0.5000 x ; interpolation
     12630 <= x <=      12660 ; y =  1765.0000 +    -0.1333 x ; interpolation
     12660 <= x <=      12690 ; y = -2455.0000 +     0.2000 x ; interpolation
     12690 <= x <=      12720 ; y =  3044.0000 +    -0.2333 x ; interpolation
     12720 <= x <=      12750 ; y = -1196.0000 +     0.1000 x ; interpolation
     12750 <= x <=      12780 ; y =  6454.0000 +    -0.5000 x ; interpolation
     12780 <= x <=      12810 ; y =  -362.0000 +     0.0333 x ; interpolation
     12810 <= x <=      12840 ; y = -5913.0000 +     0.4667 x ; interpolation
     12840 <= x <=      12870 ; y = -1205.0000 +     0.1000 x ; interpolation
     12870 <= x <=      12900 ; y =  -347.0000 +     0.0333 x ; interpolation
     12900 <= x <=      12930 ; y =  3093.0000 +    -0.2333 x ; interpolation
     12930 <= x <=      12960 ; y =  -355.0000 +     0.0333 x ; interpolation
     12960 <= x <=      12990 ; y =  5261.0000 +    -0.4000 x ; interpolation
     12990 <= x <=      13020 ; y =  -801.0000 +     0.0667 x ; interpolation
     13020 <= x <=      13050 ; y =  1369.0000 +    -0.1000 x ; interpolation
     13050 <= x <=      13080 ; y = -1676.0000 +     0.1333 x ; interpolation
     13080 <= x <=      13110 ; y =   940.0000 +    -0.0667 x ; interpolation
     13110 <= x <=      13140 ; y =  -808.0000 +     0.0667 x ; interpolation
     13140 <= x <=      13170 ; y = -4750.0000 +     0.3667 x ; interpolation
     13170 <= x <=      13200 ; y = -2116.0000 +     0.1667 x ; interpolation
     13200 <= x <=      13230 ; y =  1844.0000 +    -0.1333 x ; interpolation
     13230 <= x <=      13260 ; y =  1403.0000 +    -0.1000 x ; interpolation
     13260 <= x <=      13290 ; y = -1249.0000 +     0.1000 x ; interpolation
     13290 <= x <=      13320 ; y =  5839.0000 +    -0.4333 x ; interpolation
     13320 <= x <=      13350 ; y =  1843.0000 +    -0.1333 x ; interpolation
     13350 <= x <=      13380 ; y = -1272.0000 +     0.1000 x ; interpolation
     13380 <= x <=      13410 ; y =   958.0000 +    -0.0667 x ; interpolation
     13410 <= x <=      13440 ; y =   958.0000 +    -0.0667 x ; interpolation
     13440 <= x <=      13470 ; y = -1282.0000 +     0.1000 x ; interpolation
     13470 <= x <=      13500 ; y = -1731.0000 +     0.1333 x ; interpolation
     13500 <= x <=      13530 ; y = -3981.0000 +     0.3000 x ; interpolation
     13530 <= x <=      13560 ; y =   980.0000 +    -0.0667 x ; interpolation
     13560 <= x <=      13590 ; y =  5048.0000 +    -0.3667 x ; interpolation
     13590 <= x <=      13620 ; y = -1294.0000 +     0.1000 x ; interpolation
     13620 <= x <=      13650 ; y =  2338.0000 +    -0.1667 x ; interpolation
     13650 <= x <=      13680 ; y = -6307.0000 +     0.4667 x ; interpolation
     13680 <= x <=      13710 ; y =  6005.0000 +    -0.4333 x ; interpolation
     13710 <= x <=      13740 ; y =  -850.0000 +     0.0667 x ; interpolation
     13740 <= x <=      13770 ; y = -7720.0000 +     0.5667 x ; interpolation
     13770 <= x <=      13800 ; y =  2837.0000 +    -0.2000 x ; interpolation
     13800 <= x <=      13830 ; y =  1917.0000 +    -0.1333 x ; interpolation
     13830 <= x <=      13860 ; y = -3154.0000 +     0.2333 x ; interpolation
     13860 <= x <=      13890 ; y =  3776.0000 +    -0.2667 x ; interpolation
     13890 <= x <=      13920 ; y = -2706.0000 +     0.2000 x ; interpolation
     13920 <= x <=      13950 ; y = -2242.0000 +     0.1667 x ; interpolation
     13950 <= x <=      13980 ; y =  2873.0000 +    -0.2000 x ; interpolation
     13980 <= x <=      14010 ; y =  5669.0000 +    -0.4000 x ; interpolation
     14010 <= x <=      14040 ; y =  -869.0000 +     0.0667 x ; interpolation
     14040 <= x <=      14070 ; y =   535.0000 +    -0.0333 x ; interpolation
     14070 <= x <=      14100 ; y =  -403.0000 +     0.0333 x ; interpolation
     14100 <= x <=      14130 ; y = -5103.0000 +     0.3667 x ; interpolation
     14130 <= x <=      14160 ; y =   549.0000 +    -0.0333 x ; interpolation
     14160 <= x <=      14190 ; y =  1021.0000 +    -0.0667 x ; interpolation
     14190 <= x <=      14220 ; y =  2913.0000 +    -0.2000 x ; interpolation
     14220 <= x <=      14250 ; y = -7041.0000 +     0.5000 x ; interpolation
     14250 <= x <=      14280 ; y =  3884.0000 +    -0.2667 x ; interpolation
     14280 <= x <=      14310 ; y = -2304.0000 +     0.1667 x ; interpolation
     14310 <= x <=      14340 ; y =  -873.0000 +     0.0667 x ; interpolation
     14340 <= x <=      14370 ; y =    83.0000 +     0.0000 x ; interpolation
     14370 <= x <=      14400 ; y =  4873.0000 +    -0.3333 x ; interpolation
     14400 <= x <=      14430 ; y = -1847.0000 +     0.1333 x ; interpolation
     14430 <= x <=      14460 ; y = -2809.0000 +     0.2000 x ; interpolation
     14460 <= x <=      14490 ; y =  8759.0000 +    -0.6000 x ; interpolation
     14490 <= x <=      14520 ; y =    65.0000 +     0.0000 x ; interpolation
     14520 <= x <=      14550 ; y =   549.0000 +    -0.0333 x ; interpolation
     14550 <= x <=      14580 ; y = -9636.0000 +     0.6667 x ; interpolation
     14580 <= x <=      14610 ; y =  2028.0000 +    -0.1333 x ; interpolation
     14610 <= x <=      14640 ; y =  7872.0000 +    -0.5333 x ; interpolation
     14640 <= x <=      14670 ; y =  -912.0000 +     0.0667 x ; interpolation
     14670 <= x <=      14700 ; y = -6291.0000 +     0.4333 x ; interpolation
     14700 <= x <=      14730 ; y = -1881.0000 +     0.1333 x ; interpolation
     14730 <= x <=      14760 ; y =  -408.0000 +     0.0333 x ; interpolation
     14760 <= x <=      14790 ; y =  1068.0000 +    -0.0667 x ; interpolation
     14790 <= x <=      14820 ; y =  9942.0000 +    -0.6667 x ; interpolation
     14820 <= x <=      14850 ; y = -1420.0000 +     0.1000 x ; interpolation
     14850 <= x <=      14880 ; y =  1055.0000 +    -0.0667 x ; interpolation
     14880 <= x <=      14910 ; y = -8865.0000 +     0.6000 x ; interpolation
     14910 <= x <=      14940 ; y =    81.0000 +     0.0000 x ; interpolation
     14940 <= x <=      14970 ; y =  -915.0000 +     0.0667 x ; interpolation
     14970 <= x <=      15000 ; y = 10063.0000 +    -0.6667 x ; interpolation
     15000 <= x <=      15030 ; y = -6937.0000 +     0.4667 x ; interpolation
     15030 <= x <=      15060 ; y = -2929.0000 +     0.2000 x ; interpolation
     15060 <= x <=      15090 ; y = 10123.0000 +    -0.6667 x ; interpolation
     15090 <= x <=      15120 ; y = -10500.0000 +     0.7000 x ; interpolation
     15120 <= x <=      15150 ; y = 12684.0000 +    -0.8333 x ; interpolation
     15150 <= x <=      15180 ; y = -2466.0000 +     0.1667 x ; interpolation
     15180 <= x <=      15210 ; y =   570.0000 +    -0.0333 x ; interpolation
     15210 <= x <=      15240 ; y = -10077.0000 +     0.6667 x ; interpolation
     15240 <= x <=      15270 ; y =  9735.0000 +    -0.6333 x ; interpolation
     15270 <= x <=      15300 ; y = -3499.0000 +     0.2333 x ; interpolation
     15300 <= x <=      15330 ; y =  3641.0000 +    -0.2333 x ; interpolation
     15330 <= x <=      15360 ; y = -9134.0000 +     0.6000 x ; interpolation
     15360 <= x <=      15390 ; y =  9298.0000 +    -0.6000 x ; interpolation
     15390 <= x <=      15420 ; y =   577.0000 +    -0.0333 x ; interpolation
     15420 <= x <=      15450 ; y =  -451.0000 +     0.0333 x ; interpolation
     15450 <= x <=      15480 ; y =    64.0000 +     0.0000 x ; interpolation
     15480 <= x <=      15510 ; y =    64.0000 +     0.0000 x ; interpolation
     15510 <= x <=      15540 ; y =    64.0000 +     0.0000 x ; interpolation
     15540 <= x <=      15570 ; y = -9778.0000 +     0.6333 x ; interpolation
     15570 <= x <=      15600 ; y = 10982.0000 +    -0.7000 x ; interpolation
     15600 <= x <=      15630 ; y =  -978.0000 +     0.0667 x ; interpolation
     15630 <= x <=      15660 ; y =  1106.0000 +    -0.0667 x ; interpolation
     15660 <= x <=      15690 ; y =  -460.0000 +     0.0333 x ; interpolation
     15690 <= x <=      15720 ; y =    63.0000 +     0.0000 x ; interpolation
     15720 <= x <=      15750 ; y = -10941.0000 +     0.7000 x ; interpolation
     15750 <= x <=      15780 ; y =  1134.0000 +    -0.0667 x ; interpolation
     15780 <= x <=      15810 ; y = 11654.0000 +    -0.7333 x ; interpolation
     15810 <= x <=      15840 ; y =  1114.0000 +    -0.0667 x ; interpolation
     15840 <= x <=      15870 ; y = -4166.0000 +     0.2667 x ; interpolation
     15870 <= x <=      15900 ; y = -6811.0000 +     0.4333 x ; interpolation
     15900 <= x <=      15930 ; y =  1669.0000 +    -0.1000 x ; interpolation
     15930 <= x <=      15960 ; y =  6448.0000 +    -0.4000 x ; interpolation
     15960 <= x <=      15990 ; y =  -468.0000 +     0.0333 x ; interpolation
     15990 <= x <=      16020 ; y = -9529.0000 +     0.6000 x ; interpolation
     16020 <= x <=      16050 ; y =  3821.0000 +    -0.2333 x ; interpolation
     16050 <= x <=      16080 ; y =  6496.0000 +    -0.4000 x ; interpolation
     16080 <= x <=      16110 ; y = -10120.0000 +     0.6333 x ; interpolation
     16110 <= x <=      16140 ; y = 10286.0000 +    -0.6333 x ; interpolation
     16140 <= x <=      16170 ; y =    64.0000 +     0.0000 x ; interpolation
     16170 <= x <=      16200 ; y =   603.0000 +    -0.0333 x ; interpolation
     16200 <= x <=      16230 ; y = -5877.0000 +     0.3667 x ; interpolation
     16230 <= x <=      16260 ; y =  6025.0000 +    -0.3667 x ; interpolation
     16260 <= x <=      16290 ; y = -1021.0000 +     0.0667 x ; interpolation
     16290 <= x <=      16320 ; y = -9709.0000 +     0.6000 x ; interpolation
     16320 <= x <=      16350 ; y =  2259.0000 +    -0.1333 x ; interpolation
     16350 <= x <=      16380 ; y = -2646.0000 +     0.1667 x ; interpolation
     16380 <= x <=      16410 ; y =  9912.0000 +    -0.6000 x ; interpolation
     16410 <= x <=      16440 ; y =  1707.0000 +    -0.1000 x ; interpolation
     16440 <= x <=      16470 ; y = -8705.0000 +     0.5333 x ; interpolation
     16470 <= x <=      16500 ; y =  7765.0000 +    -0.4667 x ; interpolation
     16500 <= x <=      16530 ; y =    65.0000 +     0.0000 x ; interpolation
     16530 <= x <=      16560 ; y =  1167.0000 +    -0.0667 x ; interpolation
     16560 <= x <=      16590 ; y = -1593.0000 +     0.1000 x ; interpolation
     16590 <= x <=      16620 ; y =  1725.0000 +    -0.1000 x ; interpolation
     16620 <= x <=      16650 ; y = -8801.0000 +     0.5333 x ; interpolation
     16650 <= x <=      16680 ; y =  8404.0000 +    -0.5000 x ; interpolation
     16680 <= x <=      16710 ; y =  -492.0000 +     0.0333 x ; interpolation
     16710 <= x <=      16740 ; y =  1179.0000 +    -0.0667 x ; interpolation
     16740 <= x <=      16770 ; y =  -495.0000 +     0.0333 x ; interpolation
     16770 <= x <=      16800 ; y =    64.0000 +     0.0000 x ; interpolation
     16800 <= x <=      16830 ; y =    64.0000 +     0.0000 x ; interpolation
     16830 <= x <=      16860 ; y = -8912.0000 +     0.5333 x ; interpolation
     16860 <= x <=      16890 ; y =  7386.0000 +    -0.4333 x ; interpolation
     16890 <= x <=      16920 ; y = -8941.0000 +     0.5333 x ; interpolation
     16920 <= x <=      16950 ; y =  9671.0000 +    -0.5667 x ; interpolation
     16950 <= x <=      16980 ; y = -8409.0000 +     0.5000 x ; interpolation
     16980 <= x <=      17010 ; y =  1213.0000 +    -0.0667 x ; interpolation
     17010 <= x <=      17040 ; y =  -488.0000 +     0.0333 x ; interpolation
     17040 <= x <=      17070 ; y =  7464.0000 +    -0.4333 x ; interpolation
     17070 <= x <=      17100 ; y =  2343.0000 +    -0.1333 x ; interpolation
     17100 <= x <=      17130 ; y = -8487.0000 +     0.5000 x ; interpolation
     17130 <= x <=      17160 ; y =  8072.0000 +    -0.4667 x ; interpolation
     17160 <= x <=      17190 ; y =  -508.0000 +     0.0333 x ; interpolation
     17190 <= x <=      17220 ; y = -7384.0000 +     0.4333 x ; interpolation
     17220 <= x <=      17250 ; y =    78.0000 +     0.0000 x ; interpolation
     17250 <= x <=      17280 ; y =  9853.0000 +    -0.5667 x ; interpolation
     17280 <= x <=      17310 ; y = -3971.0000 +     0.2333 x ; interpolation
     17310 <= x <=      17340 ; y =  2953.0000 +    -0.1667 x ; interpolation
     17340 <= x <=      17370 ; y = -6295.0000 +     0.3667 x ; interpolation
     17370 <= x <=      17400 ; y =  4706.0000 +    -0.2667 x ; interpolation
     17400 <= x <=      17430 ; y = -1094.0000 +     0.0667 x ; interpolation
     17430 <= x <=      17460 ; y = -6904.0000 +     0.4000 x ; interpolation
     17460 <= x <=      17490 ; y =  1826.0000 +    -0.1000 x ; interpolation
     17490 <= x <=      17520 ; y =  7073.0000 +    -0.4000 x ; interpolation
     17520 <= x <=      17550 ; y = -2271.0000 +     0.1333 x ; interpolation
     17550 <= x <=      17580 ; y = -6366.0000 +     0.3667 x ; interpolation
     17580 <= x <=      17610 ; y = -1092.0000 +     0.0667 x ; interpolation
     17610 <= x <=      17640 ; y =  3017.0000 +    -0.1667 x ; interpolation
     17640 <= x <=      17670 ; y =  7721.0000 +    -0.4333 x ; interpolation
     17670 <= x <=      17700 ; y = -9949.0000 +     0.5667 x ; interpolation
     17700 <= x <=      17730 ; y =    81.0000 +     0.0000 x ; interpolation
     17730 <= x <=      17760 ; y =  8946.0000 +    -0.5000 x ; interpolation
     17760 <= x <=      17790 ; y = -9406.0000 +     0.5333 x ; interpolation
     17790 <= x <=      17820 ; y =  9570.0000 +    -0.5333 x ; interpolation
     17820 <= x <=      17850 ; y =    66.0000 +     0.0000 x ; interpolation
     17850 <= x <=      17880 ; y = -1124.0000 +     0.0667 x ; interpolation
     17880 <= x <=      17910 ; y =  5432.0000 +    -0.3000 x ; interpolation
     17910 <= x <=      17940 ; y = -11284.0000 +     0.6333 x ; interpolation
     17940 <= x <=      17970 ; y =  8450.0000 +    -0.4667 x ; interpolation
     17970 <= x <=      18000 ; y = -7124.0000 +     0.4000 x ; interpolation
     18000 <= x <=      18030 ; y = -2924.0000 +     0.1667 x ; interpolation
     18030 <= x <=      18060 ; y =  9096.0000 +    -0.5000 x ; interpolation
     18060 <= x <=      18090 ; y = -8362.0000 +     0.4667 x ; interpolation
     18090 <= x <=      18120 ; y =  8522.0000 +    -0.4667 x ; interpolation
     18120 <= x <=      18150 ; y = -8994.0000 +     0.5000 x ; interpolation
     18150 <= x <=      18180 ; y =    81.0000 +     0.0000 x ; interpolation
     18180 <= x <=      18210 ; y =    81.0000 +     0.0000 x ; interpolation
     18210 <= x <=      18240 ; y =    81.0000 +     0.0000 x ; interpolation
     18240 <= x <=      18270 ; y = 11025.0000 +    -0.6000 x ; interpolation
     18270 <= x <=      18300 ; y = 15897.0000 +    -0.8667 x ; interpolation
     18300 <= x <=      18330 ; y =  7357.0000 +    -0.4000 x ; interpolation
     18330 <= x <=      18360 ; y =  1247.0000 +    -0.0667 x ; interpolation
     18360 <= x <=      18390 ; y =    23.0000 +     0.0000 x ; interpolation
     18390 <= x <=      18420 ; y =   636.0000 +    -0.0333 x ; interpolation
     18420 <= x <=      18450 ; y =   636.0000 +    -0.0333 x ; interpolation
     18450 <= x <=      18480 ; y =  -594.0000 +     0.0333 x ; interpolation
     18480 <= x <=      18510 ; y =  1254.0000 +    -0.0667 x ; interpolation
     18510 <= x <=      18540 ; y =    20.0000 +     0.0000 x ; interpolation
     18540 <= x <=      18570 ; y =   638.0000 +    -0.0333 x ; interpolation
     18570 <= x <=      18600 ; y =    19.0000 +     0.0000 x ; interpolation
     18600 <= x <=      18630 ; y =    19.0000 +     0.0000 x ; interpolation
     18630 <= x <=      18660 ; y =    19.0000 +     0.0000 x ; interpolation
     18660 <= x <=      18690 ; y =   641.0000 +    -0.0333 x ; interpolation
     18690 <= x <=      18720 ; y =    18.0000 +     0.0000 x ; interpolation
     18720 <= x <=      18750 ; y =    18.0000 +     0.0000 x ; interpolation
     18750 <= x <=      18780 ; y =    18.0000 +     0.0000 x ; interpolation
     18780 <= x <=      18810 ; y =    18.0000 +     0.0000 x ; interpolation
     18810 <= x <=      18840 ; y =    18.0000 +     0.0000 x ; interpolation
     18840 <= x <=      18870 ; y =    18.0000 +     0.0000 x ; interpolation
         0 <= x <=      18870 ; y = 77.06302417427617 + -0.0006005510097987025 x ; least-squares
